instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
astropy__astropy-12907,0,3,3771,3238,3323,85,448,8594,4347
astropy__astropy-13033,1,55,34069,21484,23253,1769,10816,9028,634837
astropy__astropy-13236,2,64,64904,31252,32968,1716,31936,7989,1031304
astropy__astropy-13398,3,64,71708,54392,56156,1764,15552,30924,1925212
astropy__astropy-13453,4,64,31714,25462,27554,2092,4160,13070,997410
astropy__astropy-13579,5,26,33074,27642,28402,760,4672,37081,412274
astropy__astropy-13977,6,64,77664,48114,50336,2222,27328,24999,1448608
astropy__astropy-14096,7,29,13425,7217,8049,832,5376,9869,131057
astropy__astropy-14182,8,64,39013,23661,25573,1912,13440,17298,819621
astropy__astropy-14309,9,9,16206,9031,9358,327,6848,2185,40078
astropy__astropy-14365,10,17,10921,9426,9897,471,1024,2729,99369
astropy__astropy-14369,11,64,32896,29759,31616,1857,1280,30412,1088000
astropy__astropy-14508,12,56,107366,39622,41318,1696,66048,18426,922214
astropy__astropy-14539,13,59,81153,32786,34625,1839,46528,27355,1030849
astropy__astropy-14598,14,5,4149,3996,4149,153,0,8604,12917
astropy__astropy-14995,15,53,68640,23849,25632,1783,43008,19731,738080
astropy__astropy-7166,16,23,13628,6221,6908,687,6720,2572,64956
astropy__astropy-7336,17,9,8748,8033,8364,331,384,782,34220
astropy__astropy-7606,18,36,10110,8909,10110,1201,0,3518,155198
astropy__astropy-7671,19,25,35357,16743,17437,694,17920,8269,264541
astropy__astropy-8707,20,29,11661,10195,11085,890,576,4046,170445
astropy__astropy-8872,21,27,11556,7741,8484,743,3072,13277,139364
django__django-10097,22,64,27991,24274,26071,1797,1920,18326,943127
django__django-10554,23,58,31574,29004,30614,1610,960,14375,837590
django__django-10880,24,64,30230,21846,23766,1920,6464,10516,733782
django__django-10914,25,27,30617,19546,20313,767,10304,2265,253721
django__django-10973,26,30,13271,11571,12567,996,704,5858,157655
django__django-10999,27,39,23711,15835,17183,1348,6528,11120,358175
django__django-11066,28,33,21195,14402,15435,1033,5760,2726,233419
django__django-11087,29,7,7099,6923,7099,176,0,10108,36347
django__django-11095,30,13,5664,5139,5472,333,192,1676,43360
django__django-11099,31,3,647,623,647,24,0,358,1351
django__django-11119,32,48,28702,21139,22430,1291,6272,11829,453150
django__django-11133,33,48,71793,25851,27313,1462,44480,11804,570353
django__django-11138,34,64,60115,20486,22547,2061,37568,12814,909587
django__django-11141,35,51,37717,17693,19477,1784,18240,19336,494741
django__django-11149,36,54,51946,27527,29226,1699,22720,37737,798058
django__django-11163,37,19,15825,8120,8785,665,7040,4357,93713
django__django-11179,38,25,23136,13278,13984,706,9152,6351,180448
django__django-11206,39,46,68722,34264,35570,1306,33152,71899,753970
django__django-11211,40,11,11072,8828,9088,260,1984,9469,47872
django__django-11239,41,34,14782,12049,13118,1069,1664,4255,238398
django__django-11265,42,53,59436,21629,23340,1711,36096,11464,805932
django__django-11276,43,64,31563,25782,28043,2261,3520,8754,933195
