instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
django__django-13033,95,39,22161,13751,14929,1178,7232,35175,322065
django__django-13089,96,49,57107,20006,21395,1389,35712,5923,456979
django__django-13109,97,53,99697,25777,27313,1536,72384,5078,792433
django__django-13112,98,64,111472,36978,38832,1854,72640,37015,1313648
django__django-13121,99,64,100020,21514,23540,2026,76480,18179,702132
django__django-13128,100,51,94670,25010,26510,1500,68160,15818,660174
django__django-13158,101,57,82480,31011,32688,1677,49792,28555,1006896
django__django-13195,102,32,43116,13730,14572,842,28544,8160,234668
django__django-13212,103,64,92674,36563,38786,2223,53888,24550,973762
django__django-13279,104,7,7261,7049,7261,212,0,8861,18269
django__django-13297,105,30,38256,14431,15408,977,22848,17376,262640
django__django-13315,106,64,137268,54446,56692,2246,80576,16367,1872500
django__django-13343,107,64,238083,45591,47555,1964,190528,21481,1555779
django__django-13344,108,10,10586,10344,10586,242,0,8868,39322
django__django-13346,109,64,181455,28064,29967,1903,151488,23356,1093903
django__django-13363,110,26,20992,10605,11328,723,9664,2048,174528
django__django-13401,111,63,46432,29923,31904,1981,14528,12913,875360
django__django-13406,112,13,9926,9513,9926,413,0,10289,85254
django__django-13410,113,25,10232,9398,10232,834,0,5875,135416
django__django-13417,114,44,121161,22950,24265,1315,96896,12890,595209
django__django-13449,115,64,177223,37405,39559,2154,137664,18286,1451207
django__django-13512,116,64,184140,34845,36684,1839,147456,6149,1235788
django__django-13513,117,39,28337,9592,10609,1017,17728,6190,202033
django__django-13516,118,64,91483,15951,17691,1740,73792,13137,665755
django__django-13551,119,27,47710,17370,18078,708,29632,2833,264350
django__django-13568,120,64,26658,24652,26658,2006,0,9332,839522
django__django-13569,121,64,139298,41196,43106,1910,96192,23676,1234274
django__django-13590,122,64,44285,18520,20285,1765,24000,14342,490813
django__django-13658,123,64,37050,22490,24762,2272,12288,6495,940154
django__django-13670,124,39,60163,25119,26307,1188,33856,7170,602435
django__django-13741,125,53,69483,26814,28459,1645,41024,11305,641899
django__django-13786,126,64,52768,15852,17760,1908,35008,12710,544288
django__django-13794,127,60,78717,24407,26237,1830,52480,23952,738173
django__django-13807,128,64,103743,30163,31871,1708,71872,9601,850367
django__django-13809,129,51,48275,18943,19987,1044,28288,6154,556371
django__django-13810,130,54,119092,33963,35700,1737,83392,26061,932276
django__django-13820,131,19,24625,20256,20913,657,3712,11022,136433
django__django-13821,132,47,69511,17285,18631,1346,50880,6738,488263
django__django-13837,133,28,45503,19606,20479,873,25024,22440,305727
django__django-13925,134,64,46635,32942,34603,1661,12032,17449,947755
django__django-13933,135,28,14769,13851,14769,918,0,6682,245233
django__django-13964,136,50,51291,26918,28443,1525,22848,16650,652251
django__django-14007,137,64,108580,27976,29988,2012,78592,13512,922724
django__django-14011,138,26,17726,16999,17726,727,0,16245,192254
django__django-14017,139,51,30383,14907,16431,1524,13952,22915,444527
django__django-14034,140,48,66606,22503,23982,1479,42624,26177,602222
django__django-14053,141,47,75121,29567,31025,1458,44096,20969,699377
django__django-14089,142,17,16310,12310,12726,416,3584,5304,97142
django__django-14122,143,60,67373,21751,23533,1782,43840,20847,791789
django__django-14140,144,42,25264,20022,21168,1146,4096,11884,350320
django__django-14155,145,64,68455,29983,32231,2248,36224,10716,970471
django__django-14170,146,55,65154,20419,22082,1663,43072,8349,537346
django__django-14238,147,59,100612,22932,24964,2032,75648,9555,626500
django__django-14311,148,11,9077,8746,9077,331,0,11597,52725
django__django-14315,149,36,12760,11695,12760,1065,0,13454,193880
django__django-14349,150,30,24375,23413,24375,962,0,8835,326839
django__django-14351,151,64,168120,43335,45176,1841,122944,17458,1466872
django__django-14373,152,24,19934,19215,19934,719,0,3214,216094
django__django-14376,153,64,55291,17573,19579,2006,35712,4325,699771
django__django-14404,154,64,94080,33586,35328,1742,58752,16930,1012480
django__django-14434,155,17,19116,6869,7468,599,11648,17149,56236
django__django-14493,156,44,40626,13009,14258,1249,26368,7154,263666
django__django-14500,157,15,10960,10445,10960,515,0,17179,97808
django__django-14534,158,64,52513,15055,17057,2002,35456,16025,603553
django__django-14539,159,6,5677,5036,5229,193,448,8562,12013
django__django-14559,160,43,33572,12816,14052,1236,19520,3940,263844
django__django-14580,161,64,104085,37895,39957,2062,64128,28289,1333205
django__django-14608,162,27,16957,16230,16957,727,0,3193,258557
django__django-14631,163,51,59727,18917,20559,1642,39168,47615,629263
django__django-14672,164,64,94893,21204,23277,2073,71616,8017,840941
django__django-14725,165,64,43070,18954,20862,1908,22208,18348,680574
django__django-14752,166,21,21561,19072,19769,697,1792,2353,230777
django__django-14765,167,26,30125,16283,17133,850,12992,2121,249645
django__django-14771,168,23,16066,8900,9538,638,6528,2235,132034
django__django-14787,169,20,11485,10806,11485,679,0,25107,95261
django__django-14792,170,64,113898,38039,39850,1811,74048,42914,1418218
django__django-14855,171,64,142566,29227,31334,2107,111232,8073,941542
django__django-14915,172,25,15295,14405,15295,890,0,3983,157119
django__django-14999,173,59,86634,28623,30378,1755,56256,13507,946730
django__django-15022,174,20,12124,7182,7772,590,4352,5656,88476
django__django-15037,175,28,65101,20187,21133,946,43968,22295,351373
django__django-15098,176,64,95933,34081,36093,2012,59840,12252,1173245
django__django-15103,177,64,140258,28415,30370,1955,109888,15118,926114
django__django-15104,178,31,24507,20033,20987,954,3520,3773,260859
django__django-15127,179,52,95623,34072,35655,1583,59968,13210,809287
django__django-15128,180,13,8904,5079,5448,369,3456,10008,34760
django__django-15161,181,64,51439,11315,13359,2044,38080,19035,443375
django__django-15252,182,64,68930,29404,31362,1958,37568,17240,842050
django__django-15268,183,23,13481,12808,13481,673,0,14587,143273
django__django-15277,184,64,77877,24391,26293,1902,51584,7163,825909
django__django-15278,185,64,137979,27823,30011,2188,107968,27347,1002171
django__django-15280,186,51,76937,29939,31497,1558,45440,17106,801737
django__django-15315,187,64,62603,17433,19403,1970,43200,16381,542987
django__django-15368,188,52,42338,15932,17762,1830,24576,8839,412706
django__django-15375,189,44,123060,22017,23476,1459,99584,15492,510900
django__django-15380,190,21,9197,8698,9197,499,0,10544,115501
django__django-15382,191,64,96938,20618,22634,2016,74304,7673,649706
django__django-15467,192,53,63054,14603,16270,1667,46784,10407,343502
django__django-15499,193,43,64143,24121,25807,1686,38336,4731,557711
django__django-15503,194,22,19550,11250,11934,684,7616,16616,137374
django__django-15525,195,22,19532,18894,19532,638,0,27047,278988
django__django-15554,196,52,103941,37086,38533,1447,65408,10604,1141701
django__django-15561,197,64,104554,20997,23018,2021,81536,12350,816106
django__django-15563,198,28,28065,15238,16097,859,11968,12661,207841
django__django-15569,199,29,19157,18440,19157,717,0,15300,307989
django__django-15572,200,59,57302,31158,32982,1824,24320,9028,945686
django__django-15629,201,41,70580,22706,23924,1218,46656,10588,576116
django__django-15695,202,55,53059,22644,24387,1743,28672,19786,636803
django__django-15731,203,56,40756,25394,27124,1730,13632,5028,615284
django__django-15732,204,57,89379,20711,22627,1916,66752,12042,582819
django__django-15741,205,64,79517,25335,27485,2150,52032,11187,957341
django__django-15814,206,64,43122,25087,27378,2291,15744,14212,849906
django__django-15851,207,45,64299,20955,22443,1488,41856,15334,391147
django__django-15863,208,48,68646,22758,24166,1408,44480,10839,597158
django__django-15916,209,31,33076,13321,14260,939,18816,15839,268724
django__django-15930,210,64,110470,25087,26758,1671,83712,6674,991238
django__django-15957,211,47,54474,20313,21834,1521,32640,8577,503690
django__django-15973,212,21,22306,11820,12514,694,9792,11748,168546
django__django-15987,213,31,16120,15152,16120,968,0,8031,306552
django__django-16032,214,59,131695,31126,32943,1817,98752,22006,1022063
django__django-16082,215,64,53458,16404,18194,1790,35264,5463,669330
django__django-16100,216,24,29182,14188,15038,850,14144,3169,146686
django__django-16116,217,15,10629,6937,7301,364,3328,4467,62405
django__django-16136,218,64,131439,25440,27311,1871,104128,19423,938991
django__django-16139,219,31,29683,19956,20851,895,8832,21265,377267
django__django-16145,220,64,83282,34697,36626,1929,46656,12976,1052370
django__django-16255,221,33,12560,11634,12560,926,0,2162,214672
django__django-16256,222,64,95787,42117,44075,1958,51712,17675,1035819
django__django-16263,223,64,64564,18782,20852,2070,43712,11426,656756
django__django-16315,224,38,29810,14687,15858,1171,13952,8026,281970
django__django-16333,225,64,82564,30278,32196,1918,50368,7859,1059204
django__django-16429,226,32,25988,24989,25988,999,0,8530,445508
django__django-16454,227,62,73383,30212,32167,1955,41216,23971,1103335
django__django-16485,228,64,91372,38431,40492,2061,50880,40905,1125036
django__django-16493,229,54,55851,24599,26283,1684,29568,17520,647979
django__django-16502,230,62,111394,50803,52578,1775,58816,20115,1507106
django__django-16527,231,53,58307,30123,31875,1752,26432,10735,815171
django__django-16560,232,64,95694,71476,73422,1946,22272,51679,2301838
django__django-16569,233,3,1079,1043,1079,36,0,306,2295
django__django-16595,234,64,90790,28258,30054,1796,60736,23430,964262
django__django-16612,235,47,60950,16142,17366,1224,43584,10462,407190
django__django-16631,236,14,5953,5331,5953,622,0,10951,44801
django__django-16642,237,38,16057,14836,16057,1221,0,5498,360249
django__django-16661,238,64,75244,33212,35372,2160,39872,16964,1015532
django__django-16662,239,64,94289,27203,29329,2126,64960,14853,978897
django__django-16667,240,21,11875,11433,11875,442,0,3796,119459
django__django-16801,241,3,1259,667,747,80,512,266,1515
django__django-16819,242,52,201370,37090,38682,1592,162688,7920,999578
django__django-16877,243,64,40288,20550,22432,1882,17856,8248,668704
django__django-16899,244,49,26192,24880,26192,1312,0,5943,642320
django__django-16901,245,17,8097,4133,4641,508,3456,5204,39201
django__django-16938,246,35,43797,18559,19605,1046,24192,14695,436437
django__django-16950,247,38,28239,27081,28239,1158,0,21147,504399
django__django-17029,248,34,30694,11347,12582,1235,18112,4022,215846
django__django-17084,249,64,200032,33338,35296,1958,164736,8402,1225312
django__django-17087,250,64,150176,36450,38304,1854,111872,10506,1304672
django__django-7530,251,62,114219,27035,29099,2064,85120,10077,902251
django__django-9296,252,17,10847,10291,10847,556,0,5779,95199
matplotlib__matplotlib-13989,253,64,45795,29332,31459,2127,14336,21851,825891
matplotlib__matplotlib-14623,254,64,65844,27577,29684,2107,36160,18644,897716
matplotlib__matplotlib-20488,255,37,20422,19136,20422,1286,0,10877,401094
matplotlib__matplotlib-20676,256,64,115027,30310,32019,1709,83008,11613,1141395
matplotlib__matplotlib-20826,257,56,88017,24789,26513,1724,61504,7161,775441
matplotlib__matplotlib-20859,258,54,53153,17580,19169,1589,33984,7514,383137
matplotlib__matplotlib-21568,259,16,10900,9633,10068,435,832,9774,69780
matplotlib__matplotlib-22719,260,64,76841,32203,34473,2270,42368,19015,1042217
matplotlib__matplotlib-22865,261,25,13303,11782,12663,881,640,15562,168631
matplotlib__matplotlib-22871,262,42,113373,40373,41565,1192,71808,31794,966493
matplotlib__matplotlib-23299,263,64,44762,24349,26138,1789,18624,24956,714330
matplotlib__matplotlib-23314,264,50,46424,13336,14808,1472,31616,6105,338008
matplotlib__matplotlib-23412,265,64,28968,13571,15400,1829,13568,14233,507560
matplotlib__matplotlib-23476,266,47,23972,22746,23972,1226,0,26427,425572
matplotlib__matplotlib-24026,267,62,74457,39693,41497,1804,32960,20304,1305561
matplotlib__matplotlib-24149,268,62,65314,19661,21922,2261,43392,9250,710818
