instance_id,sample_index,turns,actual_prefill_tokens,ideal_incremental_tokens,ideal_page64_prefill_tokens,page64_boundary_recompute_tokens,excess_over_ideal_page64_tokens,decode_tokens,cumulative_full_prompt_tokens
astropy__astropy-12907,0,3,3771,3238,3323,85,448,8594,4347
astropy__astropy-13033,1,64,210250,28036,30154,2118,180096,12893,1010698
astropy__astropy-13236,2,64,265768,32982,34856,1874,230912,8739,1188264
astropy__astropy-13398,3,64,224477,44404,46237,1833,178240,18177,1705629
astropy__astropy-13453,4,64,213895,30211,32455,2244,181440,12100,1086343
astropy__astropy-13579,5,40,59549,46429,47901,1472,11648,47384,931741
astropy__astropy-13977,6,64,60724,33574,35828,2254,24896,16521,1125620
astropy__astropy-14096,7,24,17749,6554,7253,699,10496,17738,95317
astropy__astropy-14182,8,64,72708,25072,27204,2132,45504,23726,784388
astropy__astropy-14309,9,19,48393,13429,14153,724,34240,5163,135561
astropy__astropy-14365,10,38,43234,13367,14562,1195,28672,7345,292834
astropy__astropy-14369,11,18,36382,13966,14494,528,21888,15465,145246
astropy__astropy-14508,12,64,67676,44412,46300,1888,21376,20502,1247324
astropy__astropy-14539,13,13,8181,6823,7093,270,1088,10956,59253
astropy__astropy-14598,14,5,4149,3996,4149,153,0,8604,12917
astropy__astropy-14995,15,64,65421,26912,28941,2029,36480,24555,982797
astropy__astropy-7166,16,27,25183,9606,10527,921,14656,8750,116383
astropy__astropy-7336,17,12,15224,13648,14136,488,1088,982,63288
astropy__astropy-7606,18,55,73686,13686,15062,1376,58624,5926,356822
astropy__astropy-7671,19,10,17427,9357,9555,198,7872,4243,67155
astropy__astropy-8707,20,45,33107,18580,19859,1279,13248,7792,412883
astropy__astropy-8872,21,20,8800,5702,6368,666,2432,8715,82592
django__django-10097,22,38,96136,33864,35016,1152,61120,33226,579528
django__django-10554,23,64,60522,19211,21290,2079,39232,9505,600362
django__django-10880,24,64,164351,32471,34623,2152,129728,12834,1074239
django__django-10914,25,29,21674,7568,8554,986,13120,3550,115050
django__django-10973,26,26,24620,11063,11948,885,12672,4496,142252
django__django-10999,27,30,27826,15105,16050,945,11776,32874,239090
django__django-11066,28,18,23699,15409,15891,482,7808,1180,114259
django__django-11087,29,7,7099,6923,7099,176,0,10108,36347
django__django-11095,30,33,24921,7066,8089,1023,16832,5007,125273
django__django-11099,31,3,647,623,647,24,0,358,1351
